Year,Production/Services,Industry Sector,Industry Sub Category,Value
2006,Production sector,Manufacturing,,16.20098615
2007,Production sector,Manufacturing,,14.42950318
2008,Production sector,Manufacturing,,14.6791887
2009,Production sector,Manufacturing,,15.97259641
2010,Production sector,Manufacturing,,15.0090274
2011,Production sector,Manufacturing,,13.8238573
2012,Production sector,Manufacturing,,10.68783939
2013,Production sector,Manufacturing,,9.272562134
2014,Production sector,Manufacturing,,8.65523321
2015,Production sector,Manufacturing,,9.246009906
2016,Production sector,Manufacturing,,9.58545108
2017,Production sector,Manufacturing,,9.342752818
2018,Production sector,Manufacturing,,9.135210396
1998,Production sector,,,14.58776149
1999,Production sector,,,14.12041997
2000,Production sector,,,14.5746888
2001,Production sector,,,14.49751244
2002,Production sector,,,14.16398409
2003,Production sector,,,17.1973962
2004,Production sector,,,16.04683196
2005,Production sector,,,16.40931475
2006,Production sector,,,17.90717696
2007,Production sector,,,16.16072148
2008,Production sector,,,16.15499961
2009,Production sector,,,17.39665923
2010,Production sector,,,16.63395871
2011,Production sector,,,15.53591336
2012,Production sector,,,12.26756623
2013,Production sector,,,10.67624474
2014,Production sector,,,9.969546402
2015,Production sector,,,10.32313861
2016,Production sector,,,10.84021601
2017,Production sector,,,10.64454675
2018,Production sector,,,10.52753713
1998,Services sector,Construction,Construction of buildings,1.946526457
1999,Services sector,Construction,Construction of buildings,1.821298479
2000,Services sector,Construction,Construction of buildings,1.701244813
2001,Services sector,Construction,Construction of buildings,1.721393035
2002,Services sector,Construction,Construction of buildings,1.779965916
2003,Services sector,Construction,Construction of buildings,1.557002111
2004,Services sector,Construction,Construction of buildings,1.652892562
2005,Services sector,Construction,Construction of buildings,1.694349387
2006,Services sector,Construction,Construction of buildings,1.729670502
2007,Services sector,Construction,Construction of buildings,1.594331267
2008,Services sector,Construction,Construction of buildings,1.310078131
2009,Services sector,Construction,Construction of buildings,1.485643907
2010,Services sector,Construction,Construction of buildings,1.648481042
2011,Services sector,Construction,Construction of buildings,1.680203854
2012,Services sector,Construction,Construction of buildings,1.365805496
2013,Services sector,Construction,Construction of buildings,1.568821732
2014,Services sector,Construction,Construction of buildings,1.626863279
2015,Services sector,Construction,Construction of buildings,1.784731504
2016,Services sector,Construction,Construction of buildings,1.842439644
2017,Services sector,Construction,Construction of buildings,1.817748849
2018,Services sector,Construction,Construction of buildings,1.879641089
1998,Services sector,Construction,Civil engineering,1.051571764
1999,Services sector,Construction,Civil engineering,0.985643883
2000,Services sector,Construction,Civil engineering,0.995850622
2001,Services sector,Construction,Civil engineering,0.925373134
2002,Services sector,Construction,Civil engineering,1.013065707
2003,Services sector,Construction,Civil engineering,0.826882477
2004,Services sector,Construction,Civil engineering,0.817837466
2005,Services sector,Construction,Civil engineering,0.826308322
2006,Services sector,Construction,Civil engineering,0.813962589
2007,Services sector,Construction,Civil engineering,0.829374346
2008,Services sector,Construction,Civil engineering,0.820771841
2009,Services sector,Construction,Civil engineering,0.762066046
2010,Services sector,Construction,Civil engineering,0.745741424
2011,Services sector,Construction,Civil engineering,0.71667463
2012,Services sector,Construction,Civil engineering,0.649991772
2013,Services sector,Construction,Civil engineering,0.58624391
2014,Services sector,Construction,Civil engineering,0.657156596
2015,Services sector,Construction,Civil engineering,0.628980266
2016,Services sector,Construction,Civil engineering,0.635324015
2017,Services sector,Construction,Civil engineering,0.587394825
2018,Services sector,Construction,Civil engineering,0.456373762
1998,Services sector,Construction,Specialised construction activities,1.901778722
1999,Services sector,Construction,Specialised construction activities,1.896293122
2000,Services sector,Construction,Specialised construction activities,1.867219917
2001,Services sector,Construction,Specialised construction activities,1.701492537
2002,Services sector,Construction,Specialised construction activities,1.798901723
2003,Services sector,Construction,Specialised construction activities,1.908866995
2004,Services sector,Construction,Specialised construction activities,2.057506887
2005,Services sector,Construction,Specialised construction activities,1.903013104
2006,Services sector,Construction,Specialised construction activities,1.768803318
2007,Services sector,Construction,Specialised construction activities,1.948627104
2008,Services sector,Construction,Specialised construction activities,1.894088864
2009,Services sector,Construction,Specialised construction activities,1.531829728
2010,Services sector,Construction,Specialised construction activities,1.530732397
2011,Services sector,Construction,Specialised construction activities,1.648351648
2012,Services sector,Construction,Specialised construction activities,1.530360375
2013,Services sector,Construction,Specialised construction activities,1.246800429
2014,Services sector,Construction,Specialised construction activities,1.57877865
2015,Services sector,Construction,Specialised construction activities,1.580312918
2016,Services sector,Construction,Specialised construction activities,1.755082592
2017,Services sector,Construction,Specialised construction activities,2.238450548
2018,Services sector,Construction,Specialised construction activities,1.995668317
1998,Services sector,Construction,,4.944624678
1999,Services sector,Construction,,4.756803085
2000,Services sector,Construction,,4.585062241
2001,Services sector,Construction,,4.39800995
2002,Services sector,Construction,,4.629804961
2003,Services sector,Construction,,4.301548205
2004,Services sector,Construction,,4.528236915
2005,Services sector,Construction,,4.44036391
2006,Services sector,Construction,,4.335916099
2007,Services sector,Construction,,4.388437072
2008,Services sector,Construction,,4.0170468
2009,Services sector,Construction,,3.787237318
2010,Services sector,Construction,,3.932804773
2011,Services sector,Construction,,4.037267081
2012,Services sector,Construction,,3.5379299
2013,Services sector,Construction,,3.410123029
2014,Services sector,Construction,,3.862798525
2015,Services sector,Construction,,3.994024687
2016,Services sector,Construction,,4.240787802
2017,Services sector,Construction,,4.643594221
2018,Services sector,Construction,,4.331683168
1998,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.839020025
1999,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.846368117
2000,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.757261411
2001,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.736318408
2002,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.729028593
2003,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.967628431
2004,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,1.239669421
2005,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,1.135130623
2006,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.829615716
2007,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.805217811
2008,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.804987767
2009,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.831344777
2010,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.949839077
2011,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.812231247
2012,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.756952444
2013,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.817438692
2014,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.761339958
2015,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,0.888434625
2016,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,1.143583227
2017,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,1.087474202
2018,Services sector,Wholesale and retail trade; repair of motor vehicles,Motor trades,1.113861386
1998,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,3.020472089
1999,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,3.042639811
2000,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.645228216
2001,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.776119403
2002,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.669948873
2003,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.146375792
2004,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.083333333
2005,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.602537351
2006,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.760976755
2007,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.884209679
2008,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.609975535
2009,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.570317912
2010,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.648481042
2011,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.449275362
2012,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.439855192
2013,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.965155644
2014,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.869049527
2015,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,3.396493435
2016,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,2.168043202
2017,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.88918876
2018,Services sector,Wholesale and retail trade; repair of motor vehicles,Wholesale trade,1.949257426
1998,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.497147332
1999,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.938932933
2000,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.968879668
2001,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.323383085
2002,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.970649498
2003,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.233990148
2004,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.483815427
2005,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.924463734
2006,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.055959928
2007,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.95208954
2008,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.679977902
2009,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,4.957278116
2010,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.110291232
2011,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.438764134
2012,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,5.89106467
2013,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,6.143175625
2014,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,6.884116044
2015,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,6.95809419
2016,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,6.790025413
2017,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,6.532782981
2018,Services sector,Wholesale and retail trade; repair of motor vehicles,Retail trade,6.892017327
1998,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.278330909
1999,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.763659739
2000,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.360995851
2001,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.825870647
2002,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.369626965
2003,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.427163969
2004,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.918732782
2005,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.762290293
2006,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.716991469
2007,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.713986633
2008,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.173861574
2009,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.435917173
2010,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.802810268
2011,Services sector,Wholesale and retail trade; repair of motor vehicles,,7.73212295
2012,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.087872305
2013,Services sector,Wholesale and retail trade; repair of motor vehicles,,8.942283874
2014,Services sector,Wholesale and retail trade; repair of motor vehicles,,10.4664209
2015,Services sector,Wholesale and retail trade; repair of motor vehicles,,11.18012422
2016,Services sector,Wholesale and retail trade; repair of motor vehicles,,10.10165184
2017,Services sector,Wholesale and retail trade; repair of motor vehicles,,9.509445944
2018,Services sector,Wholesale and retail trade; repair of motor vehicles,,9.955136139
1998,Services sector,Transportation and storage,"Land, water and air transport",4.206287057
1999,Services sector,Transportation and storage,"Land, water and air transport",3.899721448
2000,Services sector,Transportation and storage,"Land, water and air transport",3.713692946
2001,Services sector,Transportation and storage,"Land, water and air transport",3.820895522
2002,Services sector,Transportation and storage,"Land, water and air transport",4.042794925
2003,Services sector,Transportation and storage,"Land, water and air transport",3.826530612
2004,Services sector,Transportation and storage,"Land, water and air transport",3.83953168
2005,Services sector,Transportation and storage,"Land, water and air transport",3.764293465
2006,Services sector,Transportation and storage,"Land, water and air transport",3.435861313
2007,Services sector,Transportation and storage,"Land, water and air transport",3.534906192
2008,Services sector,Transportation and storage,"Land, water and air transport",3.717149396
2009,Services sector,Transportation and storage,"Land, water and air transport",3.71026095
2010,Services sector,Transportation and storage,"Land, water and air transport",3.658057932
2011,Services sector,Transportation and storage,"Land, water and air transport",3.909858258
2012,Services sector,Transportation and storage,"Land, water and air transport",4.080961
2013,Services sector,Transportation and storage,"Land, water and air transport",4.08719346
2014,Services sector,Transportation and storage,"Land, water and air transport",4.159320404
2015,Services sector,Transportation and storage,"Land, water and air transport",5.141913672
2016,Services sector,Transportation and storage,"Land, water and air transport",4.145489199
2017,Services sector,Transportation and storage,"Land, water and air transport",3.595808859
2018,Services sector,Transportation and storage,"Land, water and air transport",3.310643564
1998,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.733974718
1999,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.046282408
2000,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.593360996
2001,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.746268657
2002,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.395379663
2003,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.243138635
2004,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.01446281
2005,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.203488857
2006,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.246223683
2007,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.319027297
2008,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.823060532
2009,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.693480102
2010,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.797629327
2011,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.863354037
2012,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.015797268
2013,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.039468252
2014,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.29203398
2015,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.957701077
2016,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.882147395
2017,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",1.944753135
2018,Services sector,Transportation and storage,"Warehousing, transport support, postal and courier activities",2.150371287
1998,Services sector,Transportation and storage,,5.783644703
1999,Services sector,Transportation and storage,,5.828155132
2000,Services sector,Transportation and storage,,6.22406639
2001,Services sector,Transportation and storage,,6.47761194
2002,Services sector,Transportation and storage,,6.381367165
2003,Services sector,Transportation and storage,,6.008092892
2004,Services sector,Transportation and storage,,5.819559229
2005,Services sector,Transportation and storage,,5.901009932
2006,Services sector,Transportation and storage,,5.588166236
2007,Services sector,Transportation and storage,,5.757307352
2008,Services sector,Transportation and storage,,5.540209928
2009,Services sector,Transportation and storage,,5.396043415
2010,Services sector,Transportation and storage,,5.45568726
2011,Services sector,Transportation and storage,,5.773212295
2012,Services sector,Transportation and storage,,6.104986013
2013,Services sector,Transportation and storage,,6.126661712
2014,Services sector,Transportation and storage,,6.467382593
2015,Services sector,Transportation and storage,,7.091752496
2016,Services sector,Transportation and storage,,6.027636595
2017,Services sector,Transportation and storage,,5.548499762
2018,Services sector,Transportation and storage,,5.461014851
1998,Services sector,Accommodation and food service activities,,2.774359548
1999,Services sector,Accommodation and food service activities,,2.871223484
2000,Services sector,Accommodation and food service activities,,2.800829876
2001,Services sector,Accommodation and food service activities,,2.905472637
2002,Services sector,Accommodation and food service activities,,2.887710661
2003,Services sector,Accommodation and food service activities,,2.955665025
2004,Services sector,Accommodation and food service activities,,2.832300275
2005,Services sector,Accommodation and food service activities,,2.754361072
2006,Services sector,Accommodation and food service activities,,2.848869062
2007,Services sector,Accommodation and food service activities,,2.802157984
2008,Services sector,Accommodation and food service activities,,2.85691737
2009,Services sector,Accommodation and food service activities,,2.540220152
2010,Services sector,Accommodation and food service activities,,2.723918675
2011,Services sector,Accommodation and food service activities,,2.826883262
2012,Services sector,Accommodation and food service activities,,3.225275629
2013,Services sector,Accommodation and food service activities,,3.022046074
2014,Services sector,Accommodation and food service activities,,2.925148261
2015,Services sector,Accommodation and food service activities,,3.160625835
2016,Services sector,Accommodation and food service activities,,3.073379924
2017,Services sector,Accommodation and food service activities,,3.230671535
2018,Services sector,Accommodation and food service activities,,3.233292079
1998,Services sector,Information and communication,,1.912965656
1999,Services sector,Information and communication,,2.260552818
2000,Services sector,Information and communication,,2.624481328
2001,Services sector,Information and communication,,2.646766169
2002,Services sector,Information and communication,,2.423783374
2003,Services sector,Information and communication,,2.51583392
2004,Services sector,Information and communication,,2.806473829
2005,Services sector,Information and communication,,3.138302312
2006,Services sector,Information and communication,,3.201064413
2007,Services sector,Information and communication,,3.406071342
2008,Services sector,Information and communication,,3.961802541
2009,Services sector,Information and communication,,3.594796398
2010,Services sector,Information and communication,,3.885705314
2011,Services sector,Information and communication,,4.30801083
2012,Services sector,Information and communication,,5.018923811
2013,Services sector,Information and communication,,6.22574519
2014,Services sector,Information and communication,,6.403269755
2015,Services sector,Information and communication,,5.645097885
2016,Services sector,Information and communication,,6.392947903
2017,Services sector,Information and communication,,6.604222893
2018,Services sector,Information and communication,,7.325185644
1998,Services sector,Financial and insurance activities,,9.755006153
1999,Services sector,Financial and insurance activities,,7.87443754
2000,Services sector,Financial and insurance activities,,9.004149378
2001,Services sector,Financial and insurance activities,,9.373134328
2002,Services sector,Financial and insurance activities,,9.912895285
2003,Services sector,Financial and insurance activities,,8.875791696
2004,Services sector,Financial and insurance activities,,9.409435262
2005,Services sector,Financial and insurance activities,,9.3230949
2006,Services sector,Financial and insurance activities,,9.25882445
2007,Services sector,Financial and insurance activities,,9.17948305
2008,Services sector,Financial and insurance activities,,9.391523952
2009,Services sector,Financial and insurance activities,,8.936956354
2010,Services sector,Financial and insurance activities,,8.046157469
2011,Services sector,Financial and insurance activities,,7.588788024
2012,Services sector,Financial and insurance activities,,7.569524436
2013,Services sector,Financial and insurance activities,,7.44777475
2014,Services sector,Financial and insurance activities,,7.156595608
2015,Services sector,Financial and insurance activities,,7.359069109
2016,Services sector,Financial and insurance activities,,7.202986023
2017,Services sector,Financial and insurance activities,,7.334497539
2018,Services sector,Financial and insurance activities,,6.311881188
